id;item;cantidad;valor_unidad;valor;cod_producto;nom_prodcuto
1;24270;77966;74381;27852;target circuit disintermediate;transmitter Terrace
2;4521;60477;89988;49323;black drive Executive;Computers alliance Idaho
3;14044;5520;82624;63051;withdrawal Grocery analyzing;Crest
4;10760;23673;26117;27858;Togo;quantify withdrawal Loan
5;63825;62869;50271;78184;bandwidth harness Gold;payment
6;31758;52023;56168;8687;Hill capacity heuristic;fuchsia
7;98211;17685;41547;59060;array Chips;Right-sized Representative
8;11201;4395;23754;52147;Officer Gloves;SSL
9;72425;7269;45612;57845;integrate;Soap
10;52276;73700;30230;88782;multi-byte Secured;Generic Towels didactic
