id;fecha_registro;fecha_entrega_estimada;fecha_enntrega_real;descripcion;codigo;valor_total;factura;estado;cod_cliente;datos_cliente
1;2022-06-05T08:21:12;2022-06-05T00:42:56;2022-06-05T07:07:16;primary JBOD Pound;deposit;75012;Myanmar Lake;DEVUELTO;Illinois e-commerce;Metal networks Future
2;2022-06-05T08:33:34;2022-06-04T18:34:36;2022-06-05T15:21:42;Director;invoice Toys;60268;Car;DEVUELTO;installation compressing Turkmenistan;Manat protocol
3;2022-06-05T09:40:48;2022-06-05T07:51:34;2022-06-05T10:44:15;Auto Unbranded;Concrete Niue;35530;Dam Dollar Loan;DEVUELTO;customized Fantastic invoice;invoice
4;2022-06-04T17:57:28;2022-06-05T12:48:56;2022-06-04T21:12:29;integrate Circle Cheese;Sports;96792;program e-services Assurance;DEVUELTO;input Legacy Reactive;Ngultrum Dinar
5;2022-06-05T15:05:18;2022-06-04T21:54:33;2022-06-05T10:26:13;revolutionize;overriding maroon Locks;28616;Planner Fresh Bacon;DEVUELTO;Soft robust Handcrafted;Handmade redundant
6;2022-06-05T02:32:20;2022-06-05T11:37:21;2022-06-05T09:22:02;Buckinghamshire back violet;turn-key;50199;Camp Dynamic;ENTREGADO;Bypass Manager bluetooth;Assistant Cloned
7;2022-06-05T14:19:34;2022-06-04T21:37:20;2022-06-05T14:34:36;Cambridgeshire Shirt holistic;implementation optimize;61646;Somoni web-enabled Human;RECIBIDO;Investment;Florida system leverage
8;2022-06-05T07:27:39;2022-06-05T02:41:54;2022-06-05T05:53:21;Licensed Sleek;Manager Car;13670;Product;ENTREGADO;Intelligent;Small
9;2022-06-05T09:21:17;2022-06-05T02:30:56;2022-06-04T23:27:55;Checking;monitor;72448;Buckinghamshire Nevada Baby;RECIBIDO;North;Shoes directional SQL
10;2022-06-04T16:30:50;2022-06-04T20:43:39;2022-06-05T00:20:10;Granite Customer;Computers;62435;1080p Supervisor Cape;DEVUELTO;Engineer;Books
